  iData         Data      ErrData       Theory       ErrTot  ErrTheoFunc        Ratio       Q2_min       Q2_max       Pt_min       Pt_max 
      0        3.357     0.549357      2.97771     0.549357            0      1.12738            4            6          5.5            7 
      1        1.231     0.233581     0.866241     0.233581            0      1.42108            4            6            7            9 
      2        0.122    0.0368464    0.0850196    0.0368464            0      1.43496            4            6            9           15 
      3        1.844     0.250681      1.64755     0.250681            0      1.11924            6           10          5.5            7 
      4        0.579    0.0975229     0.500778    0.0975229            0       1.1562            6           10            7            9 
      5        0.051    0.0155917    0.0505783    0.0155917            0      1.00834            6           10            9           15 
      6        0.834     0.110403     0.780979     0.110403            0      1.06789           10           18          5.5            7 
      7        0.287    0.0495786      0.24948    0.0495786            0      1.15039           10           18            7            9 
      8        0.021   0.00745357    0.0259737   0.00745357            0     0.808512           10           18            9           15 
      9        0.344    0.0487604      0.31827    0.0487604            0      1.08084           18           34          5.5            7 
     10          0.1     0.020759     0.108536     0.020759            0     0.921356           18           34            7            9 
     11        0.016   0.00396906    0.0121712   0.00396906            0      1.31458           18           34            9           15 
     12        0.061   0.00991691     0.069961   0.00991691            0     0.871915           34          100          5.5            7 
     13        0.028   0.00581253    0.0264917   0.00581253            0      1.05693           34          100            7            9 
     14        0.003  0.000961484   0.00344785  0.000961484            0     0.870106           34          100            9           15 
