          Q2           xp         beta           mx   iData         Data      ErrData       Theory       ErrTot  ErrTheoFunc        Ratio 
        15.3         0.05       0.0056      52.1233       0     0.054145   0.00811453    0.0517678   0.00811453            0      1.04592 
        15.3        0.075       0.0056      52.1233       1     0.065416    0.0134549    0.0612992    0.0134549            0      1.06716 
        15.3        0.016       0.0178       29.056       2     0.038896   0.00488992    0.0365469   0.00488992            0      1.06428 
        15.3        0.025       0.0178       29.056       3     0.036244   0.00430694    0.0377422   0.00430694            0     0.960304 
        15.3        0.035       0.0178       29.056       4     0.036465     0.004779    0.0392636     0.004779            0     0.928722 
        15.3         0.05       0.0178       29.056       5     0.038896   0.00488311     0.042731   0.00488311            0     0.910253 
        15.3        0.075       0.0178       29.056       6     0.046631   0.00708055    0.0507415   0.00708055            0     0.918992 
        15.3         0.09       0.0178       29.056       7     0.051714     0.010362    0.0564404     0.010362            0     0.916259 
        15.3       0.0085       0.0562      16.0294       8     0.029614   0.00462396    0.0293594   0.00462396            0      1.00867 
        15.3        0.016       0.0562      16.0294       9     0.026962   0.00309171    0.0280607   0.00309171            0     0.960845 
        15.3        0.025       0.0562      16.0294      10     0.024973   0.00287819    0.0282324   0.00287819            0     0.884551 
        15.3        0.035       0.0562      16.0294      11     0.026741   0.00376925    0.0295641   0.00376925            0      0.90451 
        15.3         0.05       0.0562      16.0294      12      0.03094   0.00415461    0.0328249   0.00415461            0     0.942577 
        15.3        0.075       0.0562      16.0294      13     0.038454   0.00614687    0.0402349   0.00614687            0     0.955737 
        15.3         0.09       0.0562      16.0294      14     0.035802   0.00746547     0.045444   0.00746547            0     0.787826 
        15.3       0.0025        0.178      8.40566      15     0.030056   0.00319415    0.0295481   0.00319415            0      1.01719 
        15.3       0.0085        0.178      8.40566      16     0.024531   0.00260699    0.0245746   0.00260699            0     0.998224 
        15.3        0.016        0.178      8.40566      17     0.021658   0.00249406    0.0230092   0.00249406            0     0.941274 
        15.3        0.025        0.178      8.40566      18     0.021437   0.00308417    0.0228747   0.00308417            0     0.937149 
        15.3        0.035        0.178      8.40566      19     0.025857     0.010347    0.0236803     0.010347            0      1.09192 
        15.3         0.05        0.178      8.40566      20     0.029614    0.0102513    0.0258922    0.0102513            0      1.14374 
        15.3       0.0009        0.562      3.45314      21      0.03978   0.00757963    0.0483889   0.00757963            0     0.822089 
        15.3       0.0025        0.562      3.45314      22     0.038233   0.00458334    0.0401393   0.00458334            0     0.952507 
        15.3       0.0085        0.562      3.45314      23     0.035802   0.00407577    0.0322861   0.00407577            0       1.1089 
        15.3        0.016        0.562      3.45314      24     0.033371    0.0128481     0.029294    0.0128481            0      1.13918 
