# pdferr
# Thu Aug 28 23:39:22 2025
# columns: x,xg,xd,xc,xb,xDg,xDd,xDc,xDb
#      x          xg          xd          xc          xb         xDg         xDd         xDc         xDb
#      1           2           3           4           5           6           7           8           9
#$QQ= 1.0000e+01
  1.0000e-04  2.9234e+00  8.4868e-02  8.2536e-02  0.0000e+00  5.3111e-01  1.3522e-02  1.3486e-02  0.0000e+00
  2.6060e-03  1.2280e+00  3.4583e-02  3.3312e-02  0.0000e+00  1.3809e-01  3.1940e-03  3.1508e-03  0.0000e+00
  5.1120e-03  1.0101e+00  2.8208e-02  2.6895e-02  0.0000e+00  1.0032e-01  2.2986e-03  2.2338e-03  0.0000e+00
  7.6180e-03  8.9661e-01  2.4960e-02  2.3540e-02  0.0000e+00  8.2394e-02  1.8961e-03  1.8101e-03  0.0000e+00
  1.0124e-02  8.2211e-01  2.2881e-02  2.1333e-02  0.0000e+00  7.1369e-02  1.6607e-03  1.5542e-03  0.0000e+00
  1.2630e-02  7.6761e-01  2.1402e-02  1.9716e-02  0.0000e+00  6.3712e-02  1.5052e-03  1.3789e-03  0.0000e+00
  1.5136e-02  7.2513e-01  2.0284e-02  1.8454e-02  0.0000e+00  5.8002e-02  1.3950e-03  1.2495e-03  0.0000e+00
  1.7642e-02  6.9060e-01  1.9406e-02  1.7427e-02  0.0000e+00  5.3535e-02  1.3132e-03  1.1493e-03  0.0000e+00
  2.0148e-02  6.6168e-01  1.8697e-02  1.6568e-02  0.0000e+00  4.9923e-02  1.2506e-03  1.0688e-03  0.0000e+00
  2.2654e-02  6.3693e-01  1.8113e-02  1.5832e-02  0.0000e+00  4.6927e-02  1.2016e-03  1.0025e-03  0.0000e+00
  2.5160e-02  6.1537e-01  1.7625e-02  1.5190e-02  0.0000e+00  4.4392e-02  1.1626e-03  9.4672e-04  0.0000e+00
  2.7666e-02  5.9633e-01  1.7212e-02  1.4624e-02  0.0000e+00  4.2213e-02  1.1312e-03  8.9896e-04  0.0000e+00
  3.0172e-02  5.7931e-01  1.6861e-02  1.4118e-02  0.0000e+00  4.0314e-02  1.1056e-03  8.5752e-04  0.0000e+00
  3.2678e-02  5.6398e-01  1.6560e-02  1.3662e-02  0.0000e+00  3.8644e-02  1.0847e-03  8.2118e-04  0.0000e+00
  3.5184e-02  5.5004e-01  1.6301e-02  1.3248e-02  0.0000e+00  3.7161e-02  1.0676e-03  7.8899e-04  0.0000e+00
  3.7690e-02  5.3729e-01  1.6078e-02  1.2869e-02  0.0000e+00  3.5832e-02  1.0536e-03  7.6023e-04  0.0000e+00
  4.0196e-02  5.2555e-01  1.5885e-02  1.2521e-02  0.0000e+00  3.4635e-02  1.0421e-03  7.3434e-04  0.0000e+00
  4.2702e-02  5.1468e-01  1.5718e-02  1.2198e-02  0.0000e+00  3.3548e-02  1.0327e-03  7.1089e-04  0.0000e+00
  4.5208e-02  5.0459e-01  1.5574e-02  1.1898e-02  0.0000e+00  3.2557e-02  1.0252e-03  6.8952e-04  0.0000e+00
  4.7714e-02  4.9517e-01  1.5450e-02  1.1619e-02  0.0000e+00  3.1650e-02  1.0191e-03  6.6998e-04  0.0000e+00
  5.0220e-02  4.8636e-01  1.5345e-02  1.1358e-02  0.0000e+00  3.0815e-02  1.0144e-03  6.5201e-04  0.0000e+00
  5.2726e-02  4.7808e-01  1.5255e-02  1.1112e-02  0.0000e+00  3.0044e-02  1.0109e-03  6.3541e-04  0.0000e+00
  5.5232e-02  4.7027e-01  1.5179e-02  1.0881e-02  0.0000e+00  2.9329e-02  1.0083e-03  6.2002e-04  0.0000e+00
  5.7738e-02  4.6290e-01  1.5116e-02  1.0663e-02  0.0000e+00  2.8665e-02  1.0066e-03  6.0572e-04  0.0000e+00
  6.0244e-02  4.5593e-01  1.5065e-02  1.0456e-02  0.0000e+00  2.8046e-02  1.0056e-03  5.9238e-04  0.0000e+00
  6.2750e-02  4.4931e-01  1.5024e-02  1.0260e-02  0.0000e+00  2.7467e-02  1.0053e-03  5.7988e-04  0.0000e+00
  6.5256e-02  4.4302e-01  1.4992e-02  1.0074e-02  0.0000e+00  2.6926e-02  1.0057e-03  5.6818e-04  0.0000e+00
  6.7762e-02  4.3703e-01  1.4970e-02  9.8959e-03  0.0000e+00  2.6417e-02  1.0066e-03  5.5716e-04  0.0000e+00
  7.0268e-02  4.3132e-01  1.4955e-02  9.7265e-03  0.0000e+00  2.5938e-02  1.0079e-03  5.4678e-04  0.0000e+00
  7.2774e-02  4.2587e-01  1.4948e-02  9.5646e-03  0.0000e+00  2.5487e-02  1.0097e-03  5.3698e-04  0.0000e+00
  7.5280e-02  4.2066e-01  1.4948e-02  9.4096e-03  0.0000e+00  2.5062e-02  1.0119e-03  5.2771e-04  0.0000e+00
  7.7786e-02  4.1568e-01  1.4954e-02  9.2611e-03  0.0000e+00  2.4660e-02  1.0144e-03  5.1891e-04  0.0000e+00
